FIRM NAME;Special Rules;Do Accts Mirror Each Other (Like Titled)?;Is the Acct a Trust or is this a Rollover?;Does the Acct hold an annuity or insurance product?;OUTPUT (if firm and answers to questions meet rules)
Mutual Services Corporation;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Natexis Bleichroeder;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
National City Investors (NatCity);;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
National Financial Services;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
NBC Securities;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Neuberger & Berman;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Next;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
NF Clearing;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
NFP Securities;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Normura Securities;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Northeast Advisers, Inc;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Northeast Securities, Inc;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Northern Trust SECURITIES;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Noyes, David A;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
O'Keefe;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Oppenheimer & Co SECURITIES;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
OptionsXpress/BrokersXpress   ;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Pacific Wealth Management;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Pacific West Securities inc;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Park Avenue Securities LLC;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Penson Financial     ;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Perelman Carley & Assoc;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Perkins Wolfe McDonnell & Co;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Pershing                               ;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
PFIC Securities Corp;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Pflueger & Baerwald;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Pinnacle Investments;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Piper Jaffrey ;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Preferred Asset Management;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Preffered Capital Markets;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Primevest;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Princor Financial Services;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Ragen MacKenzie;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Raman Brothers;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Raymond James;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
RBC Capital Markets;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Reaves (W H & Co);;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Regal Securities;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Richards, Merrill & Peterson, Inc;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Ridge Clearing ;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Robeco;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Robert W Baird;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Robinson & Lukens Inc.;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Rosenthal Collins Securities, LLC;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Royal Alliance Services;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
S G Cowen;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Sanford C Berstein;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Saxony Securities;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Scott Stringfellow Invst;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Scotttrade;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Seasongood & Mayer;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Seattle Northwest Securities;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Securities America;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Securities Service Network Inc;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
SEI Private Trust Co.      ;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Select Investing;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Shemano Group, Inc;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Siberall John A & Co;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Smith Barney;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Smith Moore & Co;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Sogotrade;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Southwest Securities;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Speer Leeds & Kellogg;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Stephens, Inc;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Sterling Financial Investment Group, Inc;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Sterne Agee & Leech;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Stifel Nicolaus;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Stockcross;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Summit Brokerage Services;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Sun Trust Investment Service;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Sweeny Cartwright & Co  (Principle Trust);;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Swiss American Securities;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Symetra;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
T. Rowe Price BROKERAGE;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Terra Nova;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Think or Swim;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Thrivent Investment Management;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
TIAA-CREF;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Tradestation;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Triad Advisors;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
UBS Securities LLC;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Union Banc Investment Services;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
United Management Corp;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
United Planners Financial;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
US Bancorp       ( US BANK )        ;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
US Securities International Corp;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
US Trust;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
USAA BROKERAGE;8 Characters in the acct #?;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);If yes, docusign eligible.  If no, print & mail.
Uvest;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Vanguard BROKERAGE;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Vfinance;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Vision Financial Markets LLC;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
VSR;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Wachovia SECURITIES;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Wachovia Trust                   ;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Wachtel & Co;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Walnut Street Securites;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Warburg Dillion Read;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Waters Parkinson & Co;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Wayne Hummer ;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Wealth Design Group;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Wiley Brothers Aintree Capital;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
William Blair;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Wilson Davis & Co;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Woodbury Financial Services;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
WRP Investments;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Zions Investment Services;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
